trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,fees,gross_pnl,net_pnl,return_pct,exit_date,cumulative_pnl,equity,peak_equity,drawdown,drawdown_pct
AAPL-0570,AAPL,long,2016-08-29T00:00:00,2016-09-06T00:00:00,106.8200,107.7000,9.3615,0.5000,8.2382,7.7382,0.0008,2016-09-06,-416.3165,9583.6835,10019.1703,-435.4869,-0.0435
AAPL-0575,AAPL,short,2016-09-06T00:00:00,2016-09-13T00:00:00,107.7000,107.9500,9.2851,0.5000,-2.3213,-2.8213,-0.0003,2016-09-13,-419.1378,9580.8622,10019.1703,-438.3081,-0.0437
AAPL-0580,AAPL,short,2016-09-13T00:00:00,2016-09-20T00:00:00,107.9500,113.5700,9.2636,0.5000,-52.0612,-52.5612,-0.0053,2016-09-20,-471.6990,9528.3010,10019.1703,-490.8693,-0.0490
AAPL-0585,AAPL,long,2016-09-20T00:00:00,2016-09-27T00:00:00,113.5700,113.0900,8.8051,0.5000,-4.2265,-4.7265,-0.0005,2016-09-27,-476.4254,9523.5746,10019.1703,-495.5958,-0.0495
AAPL-0590,AAPL,long,2016-09-27T00:00:00,2016-10-04T00:00:00,113.0900,113.0000,8.8425,0.5000,-0.7958,-1.2958,-0.0001,2016-10-04,-477.7212,9522.2788,10019.1703,-496.8916,-0.0496
AAPL-0595,AAPL,long,2016-10-04T00:00:00,2016-10-11T00:00:00,113.0000,116.3000,8.8496,0.5000,29.2035,28.7035,0.0029,2016-10-11,-449.0177,9550.9823,10019.1703,-468.1880,-0.0467
AAPL-0600,AAPL,long,2016-10-11T00:00:00,2016-10-18T00:00:00,116.3000,117.4700,8.5984,0.5000,10.0602,9.5602,0.0010,2016-10-18,-439.4575,9560.5425,10019.1703,-458.6278,-0.0458
AAPL-0605,AAPL,long,2016-10-18T00:00:00,2016-10-25T00:00:00,117.4700,118.2500,8.5128,0.5000,6.6400,6.1400,0.0006,2016-10-25,-433.3175,9566.6825,10019.1703,-452.4879,-0.0452
AAPL-0610,AAPL,long,2016-10-25T00:00:00,2016-11-01T00:00:00,118.2500,111.4900,8.4567,0.5000,-57.1670,-57.6670,-0.0058,2016-11-01,-490.9845,9509.0155,10019.1703,-510.1549,-0.0509
AAPL-0615,AAPL,short,2016-11-01T00:00:00,2016-11-08T00:00:00,111.4900,111.0600,8.9694,0.5000,3.8568,3.3568,0.0003,2016-11-08,-487.6277,9512.3723,10019.1703,-506.7980,-0.0506
AAPL-0620,AAPL,short,2016-11-08T00:00:00,2016-11-15T00:00:00,111.0600,107.1100,9.0041,0.5000,35.5664,35.0664,0.0035,2016-11-15,-452.5613,9547.4387,10019.1703,-471.7317,-0.0471
AAPL-0625,AAPL,short,2016-11-15T00:00:00,2016-11-22T00:00:00,107.1100,111.8000,9.3362,0.5000,-43.7868,-44.2868,-0.0044,2016-11-22,-496.8481,9503.1519,10019.1703,-516.0185,-0.0515
AAPL-0630,AAPL,short,2016-11-22T00:00:00,2016-11-30T00:00:00,111.8000,110.5200,8.9445,0.5000,11.4490,10.9490,0.0011,2016-11-30,-485.8991,9514.1009,10019.1703,-505.0694,-0.0504
AAPL-0635,AAPL,long,2016-11-30T00:00:00,2016-12-07T00:00:00,110.5200,111.0300,9.0481,0.5000,4.6146,4.1146,0.0004,2016-12-07,-481.7846,9518.2154,10019.1703,-500.9549,-0.0500
AAPL-0640,AAPL,long,2016-12-07T00:00:00,2016-12-14T00:00:00,111.0300,115.1900,9.0066,0.5000,37.4673,36.9673,0.0037,2016-12-14,-444.8172,9555.1828,10019.1703,-463.9876,-0.0463
AAPL-0645,AAPL,long,2016-12-14T00:00:00,2016-12-21T00:00:00,115.1900,117.0600,8.6813,0.5000,16.2340,15.7340,0.0016,2016-12-21,-429.0832,9570.9168,10019.1703,-448.2535,-0.0447
AAPL-0650,AAPL,long,2016-12-21T00:00:00,2016-12-29T00:00:00,117.0600,116.7300,8.5426,0.5000,-2.8191,-3.3191,-0.0003,2016-12-29,-432.4022,9567.5978,10019.1703,-451.5726,-0.0451
AAPL-0655,AAPL,long,2016-12-29T00:00:00,2017-01-06T00:00:00,116.7300,117.9100,8.5668,0.5000,10.1088,9.6088,0.0010,2017-01-06,-422.7934,9577.2066,10019.1703,-441.9638,-0.0441
AAPL-0660,AAPL,long,2017-01-06T00:00:00,2017-01-13T00:00:00,117.9100,119.0400,8.4810,0.5000,9.5836,9.0836,0.0009,2017-01-13,-413.7099,9586.2901,10019.1703,-432.8802,-0.0432
AAPL-0665,AAPL,long,2017-01-13T00:00:00,2017-01-23T00:00:00,119.0400,120.0800,8.4005,0.5000,8.7366,8.2366,0.0008,2017-01-23,-405.4733,9594.5267,10019.1703,-424.6436,-0.0424
AAPL-0670,AAPL,long,2017-01-23T00:00:00,2017-01-30T00:00:00,120.0800,121.6300,8.3278,0.5000,12.9081,12.4081,0.0012,2017-01-30,-393.0653,9606.9347,10019.1703,-412.2356,-0.0411
